Month,Day,Hour,PostCode,Count of temporal_spatial
5,12,6.01,EH1,1
5,16,6.01,EH1,5
5,17,6.01,EH1,2
5,18,6.01,EH1,2
5,19,6.01,EH1,5
5,20,6.01,EH1,5
5,21,6.01,EH1,5
5,22,6.01,EH1,3
5,23,6.01,EH1,3
5,24,6.01,EH1,2
5,25,6.01,EH1,1
5,26,6.01,EH1,3
5,27,6.01,EH1,6
5,28,6.01,EH1,8
5,29,6.01,EH1,5
5,30,6.01,EH1,7
5,31,6.01,EH1,4
5,50,6.01,EH1,1
5,60,6.01,EH1,1
5,70,6.01,EH1,1
5,80,6.01,EH1,1
5,90,6.01,EH1,1
5,10,7.01,EH1,1
5,12,7.01,EH1,6
5,13,7.01,EH1,7
5,14,7.01,EH1,6
5,15,7.01,EH1,2
5,16,7.01,EH1,10
5,17,7.01,EH1,2
5,18,7.01,EH1,4
5,19,7.01,EH1,10
5,20,7.01,EH1,22
5,21,7.01,EH1,21
5,22,7.01,EH1,22
5,23,7.01,EH1,20
5,24,7.01,EH1,2
5,25,7.01,EH1,3
5,26,7.01,EH1,17
5,27,7.01,EH1,17
5,28,7.01,EH1,22
5,29,7.01,EH1,20
5,30,7.01,EH1,10
5,31,7.01,EH1,8
5,60,7.01,EH1,2
5,90,7.01,EH1,2
5,10,8.01,EH1,4
5,12,8.01,EH1,8
5,13,8.01,EH1,12
5,14,8.01,EH1,20
5,15,8.01,EH1,12
5,16,8.01,EH1,20
5,17,8.01,EH1,11
5,18,8.01,EH1,2
5,19,8.01,EH1,28
5,20,8.01,EH1,24
5,21,8.01,EH1,28
5,22,8.01,EH1,30
5,23,8.01,EH1,23
5,24,8.01,EH1,9
5,25,8.01,EH1,3
5,26,8.01,EH1,22
5,27,8.01,EH1,17
5,28,8.01,EH1,12
5,29,8.01,EH1,30
5,30,8.01,EH1,23
5,31,8.01,EH1,13
5,50,8.01,EH1,2
5,60,8.01,EH1,1
5,70,8.01,EH1,1
5,80,8.01,EH1,2
5,90,8.01,EH1,3
5,10,9.01,EH1,12
5,11,9.01,EH1,7
5,12,9.01,EH1,15
5,13,9.01,EH1,20
5,14,9.01,EH1,15
5,15,9.01,EH1,15
5,16,9.01,EH1,22
5,17,9.01,EH1,40
5,18,9.01,EH1,45
5,19,9.01,EH1,41
5,20,9.01,EH1,37
5,21,9.01,EH1,66
5,22,9.01,EH1,69
5,23,9.01,EH1,62
5,24,9.01,EH1,58
5,25,9.01,EH1,36
5,26,9.01,EH1,46
5,27,9.01,EH1,66
5,28,9.01,EH1,50
5,29,9.01,EH1,52
5,30,9.01,EH1,60
5,31,9.01,EH1,77
5,50,9.01,EH1,1
5,60,9.01,EH1,3
5,70,9.01,EH1,7
5,80,9.01,EH1,6
5,90,9.01,EH1,12
5,10,12.01,EH1,16
5,11,12.01,EH1,10
5,12,12.01,EH1,16
5,13,12.01,EH1,15
5,14,12.01,EH1,9
5,15,12.01,EH1,16
5,16,12.01,EH1,40
5,17,12.01,EH1,42
5,18,12.01,EH1,24
5,19,12.01,EH1,30
5,20,12.01,EH1,41
5,21,12.01,EH1,29
5,22,12.01,EH1,40
5,23,12.01,EH1,30
5,24,12.01,EH1,55
5,25,12.01,EH1,25
5,26,12.01,EH1,32
5,27,12.01,EH1,44
5,28,12.01,EH1,38
5,29,12.01,EH1,39
5,30,12.01,EH1,43
5,31,12.01,EH1,61
5,50,12.01,EH1,1
5,60,12.01,EH1,5
5,70,12.01,EH1,3
5,80,12.01,EH1,2
5,90,12.01,EH1,6
5,10,15.01,EH1,11
5,11,15.01,EH1,5
5,12,15.01,EH1,16
5,13,15.01,EH1,11
5,14,15.01,EH1,11
5,15,15.01,EH1,18
5,16,15.01,EH1,25
5,17,15.01,EH1,22
5,18,15.01,EH1,19
5,19,15.01,EH1,37
5,20,15.01,EH1,34
5,21,15.01,EH1,50
5,22,15.01,EH1,49
5,23,15.01,EH1,30
5,24,15.01,EH1,18
5,25,15.01,EH1,11
5,26,15.01,EH1,23
5,27,15.01,EH1,35
5,28,15.01,EH1,43
5,29,15.01,EH1,28
5,30,15.01,EH1,27
5,31,15.01,EH1,47
5,50,15.01,EH1,2
5,60,15.01,EH1,5
5,70,15.01,EH1,8
5,80,15.01,EH1,9
5,90,15.01,EH1,7
5,10,17.01,EH1,2
5,11,17.01,EH1,1
5,12,17.01,EH1,5
5,13,17.01,EH1,6
5,14,17.01,EH1,4
5,15,17.01,EH1,10
5,16,17.01,EH1,13
5,17,17.01,EH1,12
5,18,17.01,EH1,7
5,19,17.01,EH1,14
5,20,17.01,EH1,20
5,21,17.01,EH1,23
5,22,17.01,EH1,19
5,23,17.01,EH1,15
5,24,17.01,EH1,10
