Time,Row Labels,Trips
6,1,2265
6,100,44
6,101,127
6,102,172
6,103,97
6,104,34
6,105,70
6,106,154
6,107,195
6,108,74
6,109,34
6,110,112
6,111,97
6,112,170
6,113,205
6,114,96
6,115,28
6,116,133
6,117,159
6,118,21
6,119,6
6,12,4
6,120,86
6,121,103
6,122,113
6,123,56
6,124,104
6,125,257
6,126,208
6,127,125
6,128,21
6,129,29
6,13,1
6,130,185
6,132,68
6,133,60
6,134,91
6,135,241
6,136,243
6,137,88
6,138,102
6,139,28
6,14,2
6,140,309
6,141,96
6,142,29
6,143,194
6,144,281
6,145,166
6,146,92
6,147,29
6,148,6
6,149,2
6,15,10
6,150,5
6,151,169
6,152,242
6,153,207
6,154,275
6,155,257
6,156,175
6,157,40
6,158,43
6,159,1
6,16,14
6,160,0
6,161,130
6,162,294
6,163,317
6,164,133
6,165,12
6,166,105
6,167,77
6,168,57
6,169,34
6,170,254
6,171,49
6,172,159
6,173,130
6,174,195
6,175,2
6,176,2
6,177,56
6,178,115
6,179,62
6,180,79
6,182,69
6,183,86
6,184,103
6,185,19
6,186,15
6,187,52
6,188,56
6,189,66
6,190,397
6,193,41
6,194,112
6,195,105
6,196,35
6,197,141
6,198,39
6,199,203
6,2,121
6,200,162
6,204,129
6,205,69
6,206,53
6,207,106
6,208,50
6,209,58
6,210,235
6,215,148
6,216,137
6,217,135
6,218,61
6,219,18
6,22,3
6,220,52
6,225,286
6,226,77
6,227,28
6,228,3
6,229,28
6,23,0
6,230,385
6,236,37
6,237,44
6,238,6
6,239,1
6,24,19
6,240,187
6,246,131
6,247,1100
6,248,90
6,249,75
6,25,3
6,250,3626
6,26,54
6,3,12
6,32,124
6,33,1
6,34,0
6,35,4
6,36,37
6,37,25
6,38,269
6,4,10
6,42,32
6,43,61
6,44,29
6,45,64
6,46,149
6,47,43
6,48,10164
6,5,136
6,52,32
6,53,33
6,54,138
6,55,64
6,56,52
6,57,87
6,58,138
6,59,941
6,6,3318
6,62,5
6,63,106
6,64,65
6,65,93
6,66,116
6,67,114
6,68,201
6,72,10
6,73,74
6,74,39
6,75,48
6,76,102
6,77,68
6,78,165
6,79,141
6,80,2095
6,81,10
6,82,103
6,83,86
6,84,1
6,85,39
6,86,17
6,87,141
6,88,125
6,89,19
6,90,85
6,92,118
6,93,115
6,94,90
6,95,2
6,96,66
6,97,91
6,98,79
6,99,8
7,1,2630
7,100,187
7,101,243
7,102,356
7,103,289
7,104,200
7,105,185
7,106,448
7,107,421
7,108,239
7,109,124
7,110,327
7,111,206
7,112,388
7,113,553
7,114,250
7,115,109
7,116,291
7,117,376
7,118,90
7,119,43
7,12,2
7,120,189
7,121,222
7,122,321
7,123,191
7,124,365
7,125,621
7,126,460
7,127,268
7,128,173
7,129,137
7,13,5
7,130,592
7,132,283
7,133,140
7,134,404
7,135,751
7,136,519
7,137,344
7,138,332
7,139,148
7,14,1
7,140,757
7,141,374
7,142,126
7,143,510
7,144,733
7,145,437
7,146,333
7,147,162
7,148,50
7,149,5
7,15,43
7,150,69
7,151,327
7,152,615
7,153,535
7,154,597
7,155,572
7,156,417
7,157,159
7,158,148
7,159,9
7,16,13
7,160,3
7,161,272
7,162,510
7,163,566
7,164,292
7,165,28
7,166,316
7,167,200
7,168,270
7,169,120
7,170,610
7,171,49
7,172,321
7,173,295
7,174,466
7,175,15
7,176,16
7,177,143
7,178,297
7,179,231
7,180,237
7,182,183
7,183,250
7,184,276
7,185,41
7,186,64
7,187,115
7,188,139
7,189,176
7,190,899
7,193,144
7,194,238
7,195,228
7,196,104
7,197,275
7,198,88
7,199,593
7,2,209
7,200,402
7,204,322
7,205,209
7,206,116
7,207,226
7,208,55
7,209,193
7,210,595
7,215,283
7,216,217
