,time,postcode,orders
1,5,1,55
2,5,10,218
3,5,11,138
4,5,12,712
5,5,14,193
6,5,15,78
7,5,16,140
8,5,2,17
9,5,3,66
10,5,4,210
11,5,5,14
12,5,6,81
13,5,7,57
14,5,8,71
15,5,9,40
16,6,1,102
17,6,10,604
18,6,11,258
19,6,12,2441
20,6,14,510
21,6,15,305
22,6,16,484
23,6,2,48
24,6,3,158
25,6,4,711
26,6,5,48
27,6,6,224
28,6,7,175
29,6,8,121
30,6,9,80
31,7,1,223
32,7,10,1496
33,7,11,635
34,7,12,3923
35,7,14,1377
36,7,15,666
37,7,16,1141
38,7,2,150
39,7,3,421
40,7,4,1406
41,7,5,128
42,7,6,482
43,7,7,438
44,7,8,305
45,7,9,322
46,8,1,293
47,8,10,1666
48,8,11,1020
49,8,12,4120
50,8,14,1628
51,8,15,832
52,8,16,1529
53,8,2,181
54,8,3,669
55,8,4,1745
56,8,5,165
57,8,6,609
58,8,7,525
59,8,8,455
60,8,9,494
61,9,1,346
62,9,10,1645
63,9,11,1018
64,9,12,3619
65,9,14,1567
66,9,15,803
67,9,16,1394
68,9,2,220
69,9,3,638
70,9,4,1760
71,9,5,179
72,9,6,674
73,9,7,579
74,9,8,504
75,9,9,417
76,10,1,424
77,10,10,1673
78,10,11,1154
79,10,12,3644
80,10,14,1791
81,10,15,910
82,10,16,1563
83,10,2,209
84,10,3,805
85,10,4,1903
86,10,5,208
87,10,6,855
88,10,7,620
89,10,8,617
90,10,9,538
91,11,1,435
92,11,10,1765
93,11,11,1381
94,11,12,3845
95,11,14,2055
96,11,15,1052
97,11,16,1841
98,11,2,269
99,11,3,796
100,11,4,2175
101,11,5,210
102,11,6,904
103,11,7,758
104,11,8,657
105,11,9,637
106,12,1,499
107,12,10,1920
108,12,11,1666
109,12,12,4067
110,12,14,2321
111,12,15,1307
112,12,16,2095
113,12,2,352
114,12,3,993
115,12,4,2401
116,12,5,221
117,12,6,1013
118,12,7,896
119,12,8,827
120,12,9,682
121,13,1,620
122,13,10,2048
123,13,11,1731
124,13,12,4190
125,13,14,2492
126,13,15,1360
127,13,16,2274
128,13,2,348
129,13,3,1079
130,13,4,2509
131,13,5,267
132,13,6,1119
133,13,7,917
134,13,8,934
135,13,9,749
136,14,1,560
137,14,10,2094
138,14,11,1721
139,14,12,4124
140,14,14,2313
141,14,15,1349
142,14,16,2179
143,14,2,331
144,14,3,997
145,14,4,2555
146,14,5,276
147,14,6,1027
148,14,7,891
149,14,8,885
150,14,9,817
151,15,1,548
152,15,10,2388
153,15,11,1698
154,15,12,4220
155,15,14,2525
156,15,15,1289
157,15,16,2358
158,15,2,383
159,15,3,1151
160,15,4,2891
161,15,5,293
162,15,6,1194
163,15,7,944
164,15,8,964
165,15,9,793
166,16,1,697
167,16,10,2379
168,16,11,1780
169,16,12,4586
170,16,14,2551
171,16,15,1346
172,16,16,2455
173,16,2,375
174,16,3,1146
175,16,4,2707
176,16,5,280
177,16,6,1136
178,16,7,951
179,16,8,989
180,16,9,875
181,17,1,774
182,17,10,1990
183,17,11,1760
184,17,12,4094
185,17,14,2261
186,17,15,1240
187,17,16,2256
188,17,2,412
189,17,3,1246
190,17,4,2468
191,17,5,217
192,17,6,1106
193,17,7,968
194,17,8,944
195,17,9,859
196,18,1,861
197,18,10,1448
198,18,11,1673
199,18,12,2942
200,18,14,1779
201,18,15,1039
202,18,16,1870
203,18,2,414
204,18,3,1194
205,18,4,2108
206,18,5,183
207,18,6,977
208,18,7,849
209,18,8,1014
210,18,9,800
211,19,1,781
212,19,10,1107
213,19,11,1439
214,19,12,1903
215,19,14,1276
216,19,15,771
217,19,16,1489
218,19,2,392
219,19,3,1139
220,19,4,1534
221,19,5,185
222,19,6,821
223,19,7,783
224,19,8,845
225,19,9,687
226,20,1,617
227,20,10,720
228,20,11,1076
229,20,12,1257
230,20,14,941
231,20,15,553
232,20,16,1025
233,20,2,305
234,20,3,846
235,20,4,1147
236,20,5,117
237,20,6,671
238,20,7,630
239,20,8,680
240,20,9,548
241,21,1,413
242,21,10,536
243,21,11,806
244,21,12,1018
245,21,14,739
246,21,15,404
247,21,16,678
248,21,2,215
249,21,3,531
250,21,4,899
251,21,5,65
252,21,6,458
253,21,7,445
254,21,8,490
255,21,9,359
